Název nutrientu;Nutrienty základní;Energetická hodnota (kJ);Energetická hodnota (kcal);Bílkoviny celkové [NCF:6.25];Dusík celkový;Tuky celkové [FACF:0.800];Sacharidy celkové;Sacharidy využitelné;Vláknina potravy;Voda celková;Ethanol;Popel;Vitaminy;Vitamin B1 (thiamin);Vitamin B2 (riboflavin);Niacin ekvivalent;Niacin;Foláty celkové;Kyselina pantothenová;Vitamin B6 (pyridoxin);Vitamin B12;Vitamin C;Vitamin A;Retinol;beta-karoten;Vitamin D;Vitamin E;alfa - tokoferol;Minerální látky;Sodík;Hořčík;Fosfor;Draslík;Vápník;Železo;Měď;Zinek;Selen;Jód;Sůl;Cukry, škrob, polyoly, organické kyseliny;Cukry celkové;Fruktosa;Glukosa;Laktosa;Maltosa;Sacharosa;Škrob;Organické kyseliny;Polyoly;Mastné kyseliny a cholesterol;Nasycené mastné kyseliny;C 4:0;C 6:0;C 8:0;C 10:0;C 12:0;C 13:0;C 14:0;C 15:0;C 16:0;C 17:0;C 18:0;C 20:0;C 22:0;Mononenasycené mastné kyseliny;C 14:1;C 16:1;C 17:1;C 18:1, n-9;C 20:1, n-11;C 22:1, n-9;Polynenasycené mastné kyseliny;n-6 mastné kyseliny;C 18:2, n-6;C 18:3, n-6;C 20:4, n-6;n-3 mastné kyseliny;C 18:3, n-3;C 20:5, n-3 (EPA);C 22:5, n-3 (DPA);C 22:6, n-3 (DHA);Trans- mastné kyseliny;C 18:1, n-9 trans;C 18:2, n-6 trans;Cholesterol;Aminokyseliny;Glycin;Alanin;Valin;Leucin;Isoleucin;Serin;Threonin;Lysin;Asparagová kyselina;Glutamová kyselina;Arginin;Cystein;Methionin;Fenylalanin;Tyrosin;Tryptofan;Histidin;Prolin
Kód EuroFIR;;ENERC;ENERC;PROT;NT;FAT;CHOT;CHO;FIBT;WATER;ALC;ASH;;THIA;RIBF;NIAEQ;NIA;FOL;PANTAC;PYRXN;VITB12;VITC;VITA;RETOL;CARTB;VITD;VITE;TOCPHA;;NA;MG;P;K;CA;FE;CU;ZN;SE;ID;NACL;;SUGAR;FRUS;GLUS;LACS;MALS;SUCS;STARCH;OA;POLY;;FASAT;F4:0;F6:0;F8:0;F10:0;F12:0;F13:0;F14:0;F15:0;F16:0;F17:0;F18:0;F20:0;F22:0;FAMS;F14:1CN5;F16:1CN7;F17:1;F18:1CN9;F20:1CN11;F22:1CN9;FAPU;FACN6;F18:2CN6;F18:3CN6;F20:4CN6;FACN3;F18:3CN3;F20:5CN3;F22:5CN3;F22:6CN3;FATRN;F18:1TN9;F18:2 TTN6;CHORL;;GLY;ALA;VAL;LEU;ILE;SER;THR;LYS;ASP;GLU;ARG;CYS;MET;PHE;TYR;TRP;HIS;PRO
Jednotka;;kJ;kcal;g;g;g;g;g;g;g;g;g;;mg;mg;NE;mg;μg;mg;mg;μg;mg;RE;μg;μg;μg;ATE;mg;;mg;mg;mg;mg;mg;mg;mg;mg;μg;μg;g;;g;g;g;g;g;g;g;g;g;;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;mg;;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg
Kapusta růžičková;;204;49;4.5;0.7;0.5;8.6;4.5;4.1;85.0;0;1.4;;0.09;0.15;;;;;;;95.2;37;0;447;;0.90;0.90;;9;23;84;412;32;1.1;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.05;0.05;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;
Borůvky;;213;51;0.7;0.1;0.6;12.3;8.9;3.4;86.1;0;0.3;;0.01;0.02;;;;;;;15.7;3;0;34;;0.57;0.57;;4;3;14;66;13;0.7;;;;;0;;6.4;3.6;2.6;;;0.2;;;;;0.02;;;;;;;;;0.02;;;;;0.07;;;;0.07;;;0.39;0.17;0.17;;;0.22;0.22;;;;;;;0;;;;;;;;;;;;;;;;;;;
Sýr, Zlato, 50 % t. v s.;;1410;339;20.9;3.3;27.5;1.9;1.9;0;46.2;0;3.9;;0.04;0.45;;;;;;;0;244;234;121;0.27;0.70;0.70;;840;20;453;80;621;0.2;0.02;2.5;;11;2.1;;1.9;;;1.9;;;;;;;17.81;0.94;0.61;0.39;0.85;1.07;;3.03;;8.15;;2.78;;;7.43;0.39;0.61;;6.11;0.33;;0.80;0.58;0.58;;;0.22;0.22;;;;;;;91;;;;;;;;;;;;;;;;;;;
Závin, jablkový;;1329;316;4.7;0.8;9.9;52.8;51.2;1.6;32.1;;0.6;;;;;;;;;;;;;;;;;;188;;;;;;;;;;0.47;;24.1;4.7;2.4;0.0;0.9;16.1;;;;;6.33;0.41;0.04;0.09;0.26;0.32;0.01;1.07;0.12;3.06;0.06;0.86;0.02;0.01;2.46;0.06;0.14;0.02;2.24;0.00;0.00;0.61;0.40;0.39;0.00;0.01;0.20;0.11;0.01;;0.08;0.06;0.06;0.00;;;;;;;;;;;;;;;;;;;;
Meloun galia;;116;27;1.1;0.17;0.1;6.02;5.12;0.90;92.1;;0.7;;;;;;;;;;;;;;;;;;23;;;;;;;;;;0.06;;4.94;1.92;1.56;0;0;1.46;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;
Pomeranč, lyofilizovaný;;1331;315;5.9;0.94;1.1;79.3;61.7;17.6;10.4;;3.3;;;;;;;;;;;;;;;;;;6;;;;;;;;;;0.02;;57.3;16.6;13.6;0;0;27.1;;;;;0.16;0;0;0;0;0;0;0;0;0.15;0;0;0;0;0.26;0;0.04;0;0.22;0;0;0.32;0.17;0.16;0;0;0.15;0.15;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;
Špaldové pukance;;1523;360;13.8;2.21;3.0;74.01;64.88;9.13;7.3;;1.9;;;;;;;;;;;;;;;;;;1;;;;;;;;;;0;;1.01;0.31;0;0;0;0.70;;;;;0.33;0;0;0;0;0;0;0;0;0.31;0;0.03;0;0;0.57;0;0;0;0.57;0;0;1.27;1.21;1.21;0;0;0.06;0.06;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;
Chléb pšeničný celozrnný;;968;229;8.9;1.4;2.0;48.0;39.8;8.2;39.2;0;1.9;;0.28;0.11;;;;;;;0;0;0;0;;0.3;0.3;;456;69;207;201;57;2.8;;;;;1.1;;;;;;;;38.4;;;;;;;;;;;;;;;;;;;;;;;;;;0.91;0.91;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;
Maso krůtí, stehno bez kůže a bez kosti;;527;126;20.2;3.2;5.0;0;0;0;73.6;;1.3;;;;;;;;;;;;;;;;;;84;;;;;;;;;;0.21;;0;0;0;0;0;0;;;;;1.61;0;0;0;0;0;0;0.06;0;1.20;0;0.32;0;0;1.89;0;0.22;0;1.66;0;0;1.23;1.13;1.10;0;0;0;0.08;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;
Křepelka celá, bez kůže;;467;111;20.5;3.29;3.2;0;0;0;74.0;;1.3;;;;;;;;;;;;;;;;;;73;;;;;;;;;;0.18;;0;0;0;0;0;0;;;;;0.77;0;0;0;0;0;0;0.02;0;0.56;0;0.19;0;0;1.03;0;0.13;0;0.90;0;0;0.85;0.80;0.80;0;0;0.05;0.05;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;
Ořechy kešu;;2470;595;17.7;3.3;45.6;29.4;27.3;2.1;4.3;0;3.0;;0.62;0.22;;;;;;;0;0;0;6;;0.64;;;15;268;445;605;33;4.2;;;;;0;;5.3;;;;;5.3;;;;;10.40;0.13;;0.11;0.12;0.78;;0.27;;5.56;;2.89;0.54;;25.94;;0.31;;25.50;0.13;;7.41;7.19;7.19;;;0.22;0.22;;;;;;;0;;;;;;;;;;;;;;;;;;;
Fazole bílé, vařené v nesolené vodě;;539;128;8.9;1.4;0.4;25.8;18.5;7.3;63.5;0;1.4;;0.15;0.06;;0.5;;;0.14;;;;;;;0;0;;;47;174;512;84;1.9;0.23;1.02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;
Citróny;;149;35;0.7;0.1;0.4;8.4;6.1;2.3;90.0;0;0.5;;0.05;0.03;;;;;;;49.0;0;0;3;;0.80;0.80;;4;16;22;152;33;0.8;;;;;0;;2.7;1.0;1.2;;;0.5;;;;;0.04;;;;;;;;;0.04;;;;;0.01;;;;;;;0.06;0.06;0.06;;;0.02;0.02;;;;;0.01;;0;;;;;;;;;;;;;;;;;;;
Játra krůtí;;478;113;20.7;3.32;3.1;0.57;0.57;0;74.2;;1.4;;;;;;;;;;;;;;;;;;86;;;;;;;;;;0.21;;0;0;0;0;0;0;;;;;1.06;0;0;0;0;0.01;0;0.01;0;0.55;0;0.50;0;0;0.53;0;0.05;0;0.47;0;0;0.53;0.52;0.52;0;0;0.02;0.02;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;
Sýr, Jadel, 40 % t. v s.;;1280;308;25.3;4.0;22.5;1.0;1.0;0;42.1;0;9.1;;0.02;0.46;;;;0.31;0.01;;0;208;191;99;0.23;0.57;0.57;;2296;13;459;31;582;0.2;0.03;3.40;;8;5.7;;1.0;;;1.0;;;;;;;14.56;0.77;0.50;0.32;0.70;0.88;;2.48;;6.66;;2.27;;;6.08;0.32;0.50;;5.00;0.27;;0.65;0.47;0.47;;;0.18;0.18;;;;;;;74;;;;;;;;;;;;;;;;;;;
Mák;;2043;495;21.8;3.5;38.9;25.7;3.0;22.7;6.4;0;7.2;;0.46;0.15;;;;;;;0;0;0;0;;2.26;2.26;;4;395;936;832;1357;8.8;;;;;0.01;;1.8;0.3;0.1;0;0;1.4;;;;;4.58;0;0;0;0;0;0;0.02;0;3.63;0;0.89;0.04;0;7.57;0;0.05;0;7.49;0.03;0;25.07;24.84;24.84;0;0;0.23;0.23;0;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;
McChicken (firma McDONALD´S);;1100;263;11.6;1.9;10.6;30.2;;;45.5;0;2.1;;0.09;0.08;;3.3;;;0.13;;0.0;1;0;10;;1.51;1.51;;539;20;140;162;42;0.6;0.06;0.68;;3.0;1.3;;;;;;;;;;;;1.70;;;;;;;0.02;;1.24;;0.40;0.04;;4.48;;0.14;;4.28;0.06;;3.76;3.29;3.29;;;0.47;0.47;;;;;;;;;;;;;;;;;;;;;;;;;;
Houby, liška obecná, sušená;;1234;297;19.1;3.05;7.8;55.08;20.01;35.07;8.4;;9.7;;;;;;;;;;;;;;;;;;3;;;;;;;;;;0.01;;2.70;0.02;2.68;0;0;0;;;;;0.50;0;0;0;0;0;0;0;0;0.38;0;0.12;0;0;1.17;0;0;0;1.17;0;0;2.37;2.37;2.37;0;0;0;0;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;
Rybíz červený, lyofilizovaný;;1282;306;4.7;0.75;3.3;78.6;50.0;28.6;8.0;;5.4;;;;;;;;;;;;;;;;;;0;;;;;;;;;;0;;40.1;21.2;18.9;0;0;0;;;;;0.20;0;0;0;0;0;0;0;0;0.15;0;0.05;0;0;0.49;0;0;0;0.48;0.01;0;1.73;0.94;0.94;0;0;0.79;0.79;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;
Brokolice, lyofilizovaná;;1259;301;27.1;4.33;3.8;55.6;23.7;31.9;7.6;;5.9;;;;;;;;;;;;;;;;;;80;;;;;;;;;;0.20;;17.9;10.2;6.3;0;0;1.4;;;;;0.69;0;0;0;0;0;0;0.01;0;0.60;0;0.08;0;0;0.27;0;0.02;0;0.25;0.01;0;0.94;0.39;0.39;0;0;0.56;0.56;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;
Semena sezamová, neloupaná;;2483;601;23.9;3.83;52.3;14.9;2.6;12.3;3.6;;5.3;;;;;;;;;;;;;;;;;;3;;;;;;;;;;0.01;;0.9;0.2;0;0;0;0.7;;;;;7.77;0;0;0;0;0;0;0;0;4.54;0;2.90;0.33;0;21.66;0;0;0;21.66;0;0;20.53;20.40;20.40;0;0;0.14;0.14;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;
Maso jelení (jelen sika), plec;;432;102;20.6;3.30;2.2;0;0;0;76.1;;1.2;;;;;;;;;;;;;;;;;;67;;;;;;;;;;0.17;;0;0;0;0;0;0;;;;;1.02;0;0;0;0;0.01;0;0.08;0;0.65;0;0.28;0.01;0;0.81;0;0.15;0;0.66;0.01;0;0.16;0.05;0.05;0;0;0.11;0.02;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;
Hořčice kremžská;;545;130;4.5;0.7;6.6;14.1;12.4;1.7;71.7;0;3.1;;0.10;0.20;;;;;;;0;0;0;0;;1.8;1.8;;760;117;170;165;95;0.9;;;;;1.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.82;0.82;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;
Jitrnice;;1140;272;15.1;2.4;19.1;10.4;;0;52.5;0;2.9;;0.17;0.34;;;;;;;0;194;194;;;;;;1125;12;155;226;53;6.1;;;;;2.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.12;;;;;;;;;;;105;;;;;;;;;;;;;;;;;;;
Játra vepřová;;496;118;19.4;3.1;2.7;3.9;3.9;0;72.6;0;1.4;;0.33;3.65;;;;;;;27.6;12238;12237;11;;0.2;0.2;;97;24;353;317;8;15.3;;;;;0.3;;0;0;0;0;0;0;;;;;0.42;0;0;0;0;0;0;0.02;0;0.04;0;0.36;0;0;0.70;0;0.04;0;0.65;0;0;0.43;0.42;0.27;0;0.15;0.02;0.02;0;;0;0;0;0;308;;;;;;;;;;;;;;;;;;;
Koření, muškátový oříšek;;2020;489;7.1;1.1;36.3;43.9;23.1;20.8;9.9;0;2.8;;0.34;0.06;;;;;;;3.0;1;0;16;;0.53;0.53;;16;183;213;350;184;3.0;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.38;0.38;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;
Čočka, vařená v nesolené vodě;;466;110;7.9;1.3;0.4;21.3;16.3;5.0;69.6;0;0.8;;0.09;0.05;;0.7;;;0.17;;;;;;;;;;;27;106;254;32;2.3;0.25;1.20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;
Špenát;;106;25;2.6;0.4;0.4;3.9;1.7;2.2;91.5;0;1.6;;0.12;0.22;;;;;;;60.0;354;0;4243;;2.90;2.9;;33;30;45;426;100;3.3;;;;;0.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.03;0.03;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;
Cejn velký,  maso s kůží;;522;125;16.8;2.68;6.4;0;0;0;75.1;;2.1;;;;;;;;;;;;;;;;;;39;;;;;;;;;;0.10;;0;0;0;0;0;0;;;;;1.54;0;0;0;0;0;0;0.18;0;1.18;0;0.18;0;0;3.08;0;0.91;0;2.10;0.07;0;0.56;0.17;0.17;0;0;0.39;0.17;0.18;;0.03;0;0;0;;;;;;;;;;;;;;;;;;;;
Maso vepřové, kýta bez kosti, syrová (separovatelný tuk 10 %);;686;164;19.6;3.1;9.5;0;0;0;69.7;0;1.1;;0.73;0.13;;5.8;;0.55;0.51;;0;3;3;0;;0.39;0.39;;50;25;216;326;4;0.7;;1.92;;;0.1;;0;;;;;;;;;;2.58;;;;0.01;0.01;;0.14;;2.37;0.03;1.31;0.02;;3.89;;0.26;;3.54;0.07;;0.84;0.79;0.75;;0.04;0.05;0.05;;;;0.02;0.02;;57;;1017;1195;1009;1620;905;793;890;690;1851;2931;1279;335;529;742;566;;869;819
Maso kůzlečí, hřbet;;329;78;17.2;2.75;1.0;0;0;0;80.2;;1.0;;;;;;;;;;;;;;;;;;88;;;;;;;;;;0.22;;0;0;0;0;0;0;;;;;0.50;0;0;0;0;0;0;0.05;0;0.26;0;0.19;0;0;0.29;0;0.01;0;0.28;0;0;0.10;0.09;0.09;0;0;0.01;0.01;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;
Mouka hořčičná;;1498;360;34.1;5.46;15.7;35.4;6.0;29.4;8.8;;6.0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;0;;5.8;0.2;2.4;0;0;3.2;;;;;0.55;0;0;0;0;0;0;0;0;0.34;0;0.09;0.06;0.06;7.17;0;0.03;0;1.92;0.87;4.31;2.27;1.29;1.14;0;0;1.28;1.13;0;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;
Řepa žlutá;;153;36;1.3;0.20;0.2;8.53;6.28;2.26;89.0;;1.0;;;;;;;;;;;;;;;;;;60;;;;;;;;;;0.15;;7.50;0.83;0.67;0;0;6.00;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;
Maso kachní, stehno, s kostí, s kůží;;968;233;15.6;2.5;19.0;0;0;0;64.7;;0.8;;;;;;;;;;;;;;;;;;71;;;;;;;;;;0.18;;0;0;0;0;0;0;;;;;5.68;0;0;0;0;0;0;0.16;0;4.35;0;1.17;0;0;10.12;0;0.83;0;9.22;0.07;0;1.99;1.85;1.81;0;0.04;0.14;0.14;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;
Salát vlašský, trh;;890;215;3.1;0.5;17.8;10.5;;;67.0;0;1.7;;0.04;0.06;;1.0;;;0.22;;0.2;41;10;370;;7.15;7.15;;312;15;57;266;16;0.5;0.06;0.49;;5.6;0.8;;;;;;;;;;;;2.03;0;0;0;0;0;;0.05;;1.27;;0.55;0.10;0.06;10.13;0;0.11;;9.67;0.24;0.11;4.64;3.19;3.19;;;1.45;1.45;;;;;;;;;;;;;;;;;;;;;;;;;;
Mléko odstředěné;;145;34;3.4;0.5;0.1;4.9;4.9;0;90.8;0;0.8;;;;;;;;;;;1;1;0;0.07;0;0;;41;10;96;137;124;0;0.01;0.32;;13.0;0.1;;4.9;;;4.9;;;;;;;0.06;0;0;0;0;0;;0.01;;0.03;;0.01;;;0.03;0;0;;0.02;0;;0;0;0;;;0;0;;;;;;;1;;;;;;;;;;;;;;;;;;;
Maso vepřové, výrobní, V4;;908;219;17.5;2.8;16.5;0;0;0;65.4;0;0.9;;;;;;;;0.37;;0;6;6;0;;;;;58;20;183;288;5;0.8;;2.44;;;0.15;;0;0;0;0;0;0;;;;;5.94;0;0;0;0;0;0;0.28;0;4.22;0;1.44;0;0;7.81;0;0.60;0;7.11;0.10;0;1.22;1.13;1.13;0;0;0.09;0.09;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;
Maso jelení (jelen lesní), na guláš;;480;114;21.5;3.44;3.1;0;0;0;73.7;;1.1;;;;;;;;;;;;;;;;;;63;;;;;;;;;;0.16;;0;0;0;0;0;0;;;;;1.62;0;0;0;0;0.01;0;0.18;0;0.91;0;0.52;0;0;0.97;0;0.20;0;0.77;0;0;0.10;0.07;0.06;0;0.01;0.03;0.03;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;
Jogurt bílý, 3,5 % tuku;;311;74;4.5;0.7;3.5;5.2;5.2;0;84.6;0;1.0;;0.05;0.21;;;;;;;0;31;30;15;0.10;0.09;0.09;;59;14;138;197;178;0.1;0.01;0.46;;18.7;0.1;;5.2;;;5.2;;;;1.3;;;2.26;0.12;0.08;0.05;0.11;0.14;;0.39;;1.04;;0.35;;;0.95;0.05;0.08;;0.78;0.04;;0.10;0.07;0.07;;;0.03;0.03;;;;;;;12;;;;;;;;;;;;;;;;;;;
Maso hovězí, výrobní, H1;;439;104;21.9;3.5;1.8;0;0;0;75.2;0;1.1;;0.04;0.16;;5.5;;;0.37;;0;;;;;;;;47;24;203;296;4;1.6;;4.2;;;0.12;;0;0;0;0;0;0;;;;;0.82;0;0;0;0;0;0;0.04;0;0.43;0;0.35;0;0;0.70;0;0.04;0;0.66;0;0;0.06;0.05;0.05;0;0;0.01;0.01;0;;0;0;0;0;;;979;1262;1080;1752;1029;835;970;1130;1985;3279;1474;324;596;886;897;;831;756
Skořice mletá;;973;237;3.8;0.6;1.9;80.8;21.3;59.5;9.7;0;3.8;;0.08;0.14;;;;;;;3.8;9;0;112;;2.32;2.32;;3;103;67;608;1437;17.2;;;;;0.01;;1.8;1.1;0.7;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;
Klíčky ovesné;;1565;372;11.3;1.8;7.6;69.4;59.3;10.1;10.0;;1.6;;;;;;;;;;;;;;;;;;1;;;;;;;;;;0;;0.2;0;0;0;0;0.2;;;;;1.21;0;0;0;0;0;0;0.01;0;1.09;0;0.10;0;0;3.17;0;0.01;0;3.09;0.07;0;2.93;2.86;2.86;0;0;0.07;0.07;0;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;
Koření, kopr, sušený;;1177;282;29.3;4.69;5.4;45.08;13.16;31.92;7.2;;13.0;;;;;;;;;;;;;;;;;;155;;;;;;;;;;0.39;;5.13;3.28;1.53;0;0;0.32;;;;;0.63;0;0;0;0;0;0;0;0;0.55;0;0.08;0;0;0.78;0;0;0;0.78;0;0;3.24;1.10;1.10;0;0;2.13;2.13;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;
Koření, fenykl;;1289;314;16.7;2.7;16.1;51.3;0;51.3;8.7;;7.8;;;;;;;;;;;;;;;;;;143;;;;;;;;;;0.36;;0;0;0;0;0;0;;;;;0.80;0;0;0;0;0;0;0;0;0.63;0;0.18;0;0;13.06;0;0.06;0;13.00;0;0;1.51;1.51;1.51;0;0;0;0;0;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;
Mouka quinoi;;1495;355;13.9;2.22;7.0;64.3;54.1;10.2;11.8;;3.1;;;;;;;;;;;;;;;;;;0;;;;;;;;;;0;;1.7;0.2;0.7;0;0;0.8;;;;;0.53;0;0;0;0;0;0;0;0;0.43;0;0.03;0;0.08;1.28;0;0;0;1.21;0.08;0;2.64;2.46;2.46;0;0;0.18;0.18;0;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;
Koření, estragon, sušený;;1000;242;21.5;3.44;3.3;54.06;8.73;45.33;9.1;;12.0;;;;;;;;;;;;;;;;;;97;;;;;;;;;;0.24;;3.98;2.31;1.60;0;0;0.07;;;;;0.27;0;0;0;0;0;0;0.02;0;0.23;0;0.02;0;0;0.39;0;0;0;0.39;0;0;1.35;0.49;0.49;0;0;0.86;0.86;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;
Salát islandský, trh;;1240;301;6.6;1.1;29.8;1.7;;;59.6;0;2.3;;0.04;0.05;;0.3;;;0.06;;0;43;30;150;;7.38;7.38;;610;11;66;134;21;0.3;0.02;0.26;;18.1;1.5;;;;;;;;;;;;2.38;0;0;0;0;0;;0.03;;1.50;;0.54;0.19;0.12;17.63;0.01;0.10;;17.00;0.44;0.08;7.69;5.46;5.46;;;2.23;2.23;;;;;;;;;;;;;;;;;;;;;;;;;;
Maso selečí, kýta;;421;100;20.6;3.29;1.9;0;0;0;76.7;;1.2;;;;;;;;;;;;;;;;;;46;;;;;;;;;;0.12;;0;0;0;0;0;0;;;;;0.69;0;0;0;0;0;0;0.03;0;0.44;0;0.21;0.01;0;0.64;0;0.04;0;0.60;0;0;0.26;0.24;0.24;0;0;0.02;0.02;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;
Sója, vařená v nesolené vodě;;600;143;14.5;2.5;3.1;18.2;10.3;7.9;62.4;0;1.8;;0.19;0.09;;0.6;;;0.15;;;;;;;0.85;0.85;;;45;253;607;;3.0;0.46;1.47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;
Kakao tmavé, 22 až 24%;;1532;371;21.1;3.38;21.6;41.45;4.60;36.85;6.0;;9.8;;;;;;;;;;;;;;;;;;25;;;;;;;;;;0.06;;0.53;0.13;0;0;0;0.40;;;;;13.13;0;0;0;0;0;0;0;0;5.33;0;7.57;0.23;0;6.95;0;0;0;6.95;0;0;0.61;0.61;0.61;0;0;0;0;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;
Mouka, plantejnová (ze zelených banánů);;1424;336;3.2;0.51;0.4;83.4;76.3;7.1;10.5;;2.5;;;;;;;;;;;;;;;;;;0;;;;;;;;;;0;;2.4;1.1;0.7;0;0;0.6;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;
Pomeranče;;209;49;0.9;0.1;0.2;12.0;10.0;2.0;86.4;0;0.5;;0.08;0.04;;;;;;;50.7;10;0;114;;0.55;0.55;;3;14;24;199;34;0.7;;;;;0;;7.3;2.6;2.0;;;2.7;;;;;0.02;;;;;;;;;0.02;;0;;;0.05;;0.01;;0.04;;;0.08;0.05;0.05;;;0.03;0.03;;;;;;;0;;;;;;;;;;;;;;;;;;;
Otruby pšeničné;;1155;278;16.8;2.7;5.7;60.1;19.6;40.4;11.8;0;5.6;;0.89;0.36;;;;;;;0;0;0;0;;1.6;1.6;;2;480;1055;1340;75;19;;;;;0;;2.3;0.4;0;0;0;1.9;;;;;0.69;0;0;0;0;0;0;0;0;0.63;0;0.06;0;0;1.35;0;0.11;0;1.24;0;0;2.65;2.52;2.52;0;0;0.13;0.13;0;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;
Víno dezertní, kořeněné, Vermut;;603;144;0.2;0;0;14.0;14.0;0;73.1;12.4;0.3;;0;0;;;;;;;0;0;0;0;;0;;;6;11;13;84;8;1.1;;;;;0;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;0;0;;;;0;;;;;;;;0;;;;;;;;;;;;;;;;;;;
Kapusta hlávková;;161;39;3.4;0.5;0.7;7.1;2.3;4.8;87.4;0;1.4;;0.11;0.19;;;;;;;94.8;446;0;5350;;0.17;0.17;;20;29;73;472;152;1.7;;;;;0.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.10;0.10;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;
Játra telecí;;634;152;21.3;3.41;6.1;3.00;3.00;0;67.6;0;2.0;;0.31;2.92;;;;;;;33.8;18813;18800;160;;1.00;1.00;;64;32;319;327;7;10.2;;;;;0.16;;0;0;0;0;0;0;;;;;2.62;0;0;0;0;0;0;0.11;0;1.51;0;0.99;0;0;1.66;0;0.16;0;1.49;0;0;0.47;0.43;0.43;0;0;0.04;0.04;0;;0;0;0;0;346;;;;;;;;;;;;;;;;;;;
Pivo tmavé, ležák, 12 %,;;190;45;0.4;0.1;0;5.3;5.3;0;90.9;3.2;0.2;;0.01;0.03;;;;;;;0;0;0;5;;0;;;3;6;20;40;3;0;;;;;0;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;0;0;;;;0;;;;;;;;0;;;;;;;;;;;;;;;;;;;
Sýr, Niva, 50 % t. v s.;;1430;345;20.0;3.1;28.9;1.3;1.3;0;45.0;0;6.2;;0.03;0.43;;;;2.11;0.13;;0;256;245;127;0.28;0.74;0.74;;1833;15;330;63;553;0.2;0.04;2.30;;19;4.6;;1.3;;;1.3;;;;;;;18.67;0.98;0.63;0.40;0.89;1.13;;3.17;;8.54;;2.91;;;7.79;0.40;0.63;;6.40;0.35;;0.84;0.61;0.61;;;0.23;0.23;;;;;;;95;;;;;;;;;;;;;;;;;;;
