Název nutrientu;Nutrienty základní;Energetická hodnota (kJ);Energetická hodnota (kcal);Bílkoviny celkové [NCF:6.25];Dusík celkový;Tuky celkové [FACF:0.800];Sacharidy celkové;Sacharidy využitelné;Vláknina potravy;Voda celková;Ethanol;Popel;Vitaminy;Vitamin B1 (thiamin);Vitamin B2 (riboflavin);Niacin ekvivalent;Niacin;Foláty celkové;Kyselina pantothenová;Vitamin B6 (pyridoxin);Vitamin B12;Vitamin C;Vitamin A;Retinol;beta-karoten;Vitamin D;Vitamin E;alfa - tokoferol;Minerální látky;Sodík;Hořčík;Fosfor;Draslík;Vápník;Železo;Měď;Zinek;Selen;Jód;Sůl;Cukry, škrob, polyoly, organické kyseliny;Cukry celkové;Fruktosa;Glukosa;Laktosa;Maltosa;Sacharosa;Škrob;Organické kyseliny;Polyoly;Mastné kyseliny a cholesterol;Nasycené mastné kyseliny;C 4:0;C 6:0;C 8:0;C 10:0;C 12:0;C 13:0;C 14:0;C 15:0;C 16:0;C 17:0;C 18:0;C 20:0;C 22:0;Mononenasycené mastné kyseliny;C 14:1;C 16:1;C 17:1;C 18:1, n-9;C 20:1, n-11;C 22:1, n-9;Polynenasycené mastné kyseliny;n-6 mastné kyseliny;C 18:2, n-6;C 18:3, n-6;C 20:4, n-6;n-3 mastné kyseliny;C 18:3, n-3;C 20:5, n-3 (EPA);C 22:5, n-3 (DPA);C 22:6, n-3 (DHA);Trans- mastné kyseliny;C 18:1, n-9 trans;C 18:2, n-6 trans;Cholesterol;Aminokyseliny;Glycin;Alanin;Valin;Leucin;Isoleucin;Serin;Threonin;Lysin;Asparagová kyselina;Glutamová kyselina;Arginin;Cystein;Methionin;Fenylalanin;Tyrosin;Tryptofan;Histidin;Prolin
Kód EuroFIR;;ENERC;ENERC;PROT;NT;FAT;CHOT;CHO;FIBT;WATER;ALC;ASH;;THIA;RIBF;NIAEQ;NIA;FOL;PANTAC;PYRXN;VITB12;VITC;VITA;RETOL;CARTB;VITD;VITE;TOCPHA;;NA;MG;P;K;CA;FE;CU;ZN;SE;ID;NACL;;SUGAR;FRUS;GLUS;LACS;MALS;SUCS;STARCH;OA;POLY;;FASAT;F4:0;F6:0;F8:0;F10:0;F12:0;F13:0;F14:0;F15:0;F16:0;F17:0;F18:0;F20:0;F22:0;FAMS;F14:1CN5;F16:1CN7;F17:1;F18:1CN9;F20:1CN11;F22:1CN9;FAPU;FACN6;F18:2CN6;F18:3CN6;F20:4CN6;FACN3;F18:3CN3;F20:5CN3;F22:5CN3;F22:6CN3;FATRN;F18:1TN9;F18:2 TTN6;CHORL;;GLY;ALA;VAL;LEU;ILE;SER;THR;LYS;ASP;GLU;ARG;CYS;MET;PHE;TYR;TRP;HIS;PRO
Jednotka;;kJ;kcal;g;g;g;g;g;g;g;g;g;;mg;mg;NE;mg;μg;mg;mg;μg;mg;RE;μg;μg;μg;ATE;mg;;mg;mg;mg;mg;mg;mg;mg;mg;μg;μg;g;;g;g;g;g;g;g;g;g;g;;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;mg;;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg
Čokoláda hořká, obsah kakaa 60-69 %;;2340;563;6.1;1.0;38.3;52.4;44.4;8.0;1.3;0;1.9;;0.03;0.05;;;;;;;;3;;25;;0.59;0.59;;10;176;260;567;62;6.3;;;;;0;;36.7;0;0;0.3;0;36.4;;;;;21.88;0.04;0.03;0.02;0.06;0.06;;0.19;;9.20;;11.86;0.36;0.06;11.52;0.01;0.11;;11.32;0.02;;1.18;;1.09;;0;;0.09;0;0;0;0.08;0.06;0.02;6;;;;;;;;;;;;;;;;;;;
Droždí lisované;;437;105;14.4;2.3;2.7;11.3;0.2;11.1;69.8;0;1.8;;0.95;2.19;;;;;;;0;0;0;0;;0;0.20;;19;71;486;594;36;3.8;;;;;0.05;;0.1;0;0;0;0;0.1;;;;;0.42;0;0;0;0;0;0;0.02;0;0.26;0;0.14;0;0;2.10;0;1.07;0;1.03;0;0;0.08;0.06;0.06;0;0;0.02;0.02;0;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;
Olej babassový;;3690;900;0;0;99.8;0;0;0;0.2;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;0;;0;0;0;0;0;0;;;;;79.83;0;0.29;4.69;4.78;41.41;0;15.46;0;8.89;0;4.05;0.08;0;13.58;0;0;0;13.46;0.06;0;2.20;2.20;2.19;0;0;0;0;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;
Otruby ovesné;;1539;366;15.7;2.52;7.3;65.7;52.7;13.1;8.7;;2.4;;;;;;;;;;;;;;;;;;1;;;;;;;;;;0;;1.5;0.3;0;0;0;1.4;;;;;1.15;0;0;0;0;0;0;0.01;0;0.98;0;0.09;0;0.07;2.42;0;0.01;0;2.36;0.04;0;2.43;2.35;2.35;0;0;0.08;0.08;0;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;
Paprika zeleninová, žlutá;;98;23;0.7;0.11;0.3;4.7;4.2;0.5;93.9;;0.4;;;;;;;;;;;;;;;;;;0;;;;;;;;;;0;;3.7;1.9;1.8;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;
Datle, sušené;;1434;339;2.5;0.4;0.8;85.1;75.7;9.4;9.8;0;1.8;;0.03;0.09;;;;;;;3.0;3;0;40;;0.05;0.05;;5;54;56;643;51;1.0;;;;;0.01;;56.2;27.7;28.1;0;0;0.4;;;;;0.11;0;0;0;0;0;0;0.01;0;0.07;0;0.03;0;0;0.14;0;0;0;0.14;0;0;0.34;0.30;0.30;0;0;0.04;0.04;0;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;
Chřest bílý;;80;19;1.5;0.2;0.1;3.7;2.2;1.5;94.2;;0.5;;;;;;;;;;;;;;;;;;11;;;;;;;;;;0.03;;2.2;1.6;0.6;0;0;0;;;;;0.08;0;0;0;0;0;0;0;0;0.05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;
Koření, máta, syrová;;269;65;5.0;0.79;1.2;14.50;2.84;11.66;76.6;;2.8;;;;;;;;;;;;;;;;;;10;;;;;;;;;;0.03;;1.26;0.76;0.50;0;0;0;;;;;0.87;0;0;0;0;0;0;0.84;0;0.03;0;0;0;0;0.01;0;0;0;0.01;0;0;0.07;0.02;0.02;0;0;0.06;0.06;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;
Brambory sladké (batáty, jamy);;277;66;1.1;0.2;0.2;16.1;13.6;2.5;81.3;;1.2;;;;;;;;;;;;;;;;;;36;;;;;;;;;;0.09;;8.3;1.5;1.3;0;0;5.4;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;
Omáčka svíčková, modelová receptura;;722;173;11.8;1.8;11.8;5.3;4.7;0.6;69.9;0;1.7;;0.03;0.12;;2.2;;0.31;0.11;;0.4;75;57;215;;0.18;0.18;;331;18;134;249;39;1.1;;1.94;;;0.8;;0.7;;;;;;;;;;7.27;0.15;0.18;0.13;0.29;0.33;0;1.03;0.10;3.57;0.06;1.38;0.02;0;3.48;0.09;0.27;0;3.10;0.02;0;0.52;0.44;0.44;;;0.06;0.06;;;;0.02;0.02;0;46;;801;871;750;1151;673;568;640;940;1248;2299;889;176;362;589;572;;479;673
